ID,Calories_Burned
TEST_0000,209.68195
TEST_0001,205.81496
TEST_0002,63.185696
TEST_0003,136.97914
TEST_0004,262.04684
TEST_0005,217.28635
TEST_0006,91.62775
TEST_0007,69.16907
TEST_0008,72.69414
TEST_0009,48.12637
TEST_0010,128.28673
TEST_0011,58.38236
TEST_0012,13.629361
TEST_0013,160.15822
TEST_0014,222.59782
TEST_0015,7.82358
TEST_0016,90.08511
TEST_0017,132.70085
TEST_0018,161.54222
TEST_0019,12.14985
TEST_0020,45.047237
TEST_0021,73.866035
TEST_0022,66.13049
TEST_0023,64.232216
TEST_0024,27.563799
TEST_0025,120.13704
TEST_0026,102.01108
TEST_0027,200.89085
TEST_0028,131.0489
TEST_0029,109.65576
TEST_0030,17.673243
TEST_0031,217.88182
TEST_0032,52.766342
TEST_0033,67.720116
TEST_0034,129.3906
TEST_0035,105.96168
TEST_0036,61.59997
TEST_0037,115.48229
TEST_0038,6.869462
TEST_0039,124.629425
TEST_0040,201.32774
TEST_0041,172.39975
TEST_0042,128.97594
TEST_0043,47.826077
TEST_0044,63.978867
TEST_0045,65.5624
TEST_0046,64.06062
TEST_0047,207.39574
TEST_0048,130.80736
TEST_0049,101.45657
TEST_0050,18.716726
TEST_0051,115.19756
TEST_0052,154.56262
TEST_0053,81.75098
TEST_0054,66.68025
TEST_0055,61.10716
TEST_0056,180.64557
TEST_0057,28.721746
TEST_0058,73.24925
TEST_0059,80.54696
TEST_0060,70.16231
TEST_0061,111.46571
TEST_0062,94.25015
TEST_0063,46.143604
TEST_0064,64.00419
TEST_0065,136.16338
TEST_0066,216.09363
TEST_0067,126.50182
TEST_0068,110.66181
TEST_0069,49.11858
TEST_0070,111.320694
TEST_0071,66.93646
TEST_0072,11.303558
TEST_0073,137.65144
TEST_0074,51.560734
TEST_0075,77.496185
TEST_0076,57.4354
TEST_0077,39.78179
TEST_0078,61.519703
TEST_0079,158.89719
TEST_0080,200.67519
TEST_0081,151.27411
TEST_0082,84.98247
TEST_0083,90.558395
TEST_0084,60.105972
TEST_0085,177.6166
TEST_0086,124.067474
TEST_0087,20.786062
TEST_0088,158.06694
TEST_0089,60.19808
TEST_0090,53.507343
TEST_0091,44.615723
TEST_0092,38.296085
TEST_0093,193.47948
TEST_0094,8.381757
TEST_0095,1.2462575
TEST_0096,257.76794
TEST_0097,121.21654
TEST_0098,202.65817
TEST_0099,203.28142
TEST_0100,0.29607424
TEST_0101,98.88797
TEST_0102,152.34737
TEST_0103,159.3579
TEST_0104,46.09226
TEST_0105,193.00952
TEST_0106,67.422
TEST_0107,30.377798
TEST_0108,183.0865
TEST_0109,36.267963
TEST_0110,102.48125
TEST_0111,217.45804
TEST_0112,60.708755
TEST_0113,144.30426
TEST_0114,64.32581
TEST_0115,84.44893
TEST_0116,81.52402
TEST_0117,44.97215
TEST_0118,1.2768484
TEST_0119,-0.00047883487
TEST_0120,164.57376
TEST_0121,51.135735
TEST_0122,51.673107
TEST_0123,26.885986
TEST_0124,31.980518
TEST_0125,107.435646
TEST_0126,58.118183
TEST_0127,26.690521
TEST_0128,99.70432
TEST_0129,87.74321
TEST_0130,35.37617
TEST_0131,203.55638
TEST_0132,75.401184
TEST_0133,131.55623
TEST_0134,102.23088
TEST_0135,60.830048
TEST_0136,41.705387
TEST_0137,60.427105
TEST_0138,154.4014
TEST_0139,26.059278
TEST_0140,108.65638
TEST_0141,5.004472
TEST_0142,112.91303
TEST_0143,60.188625
TEST_0144,-0.07170733
TEST_0145,61.897778
TEST_0146,190.01715
TEST_0147,63.423588
TEST_0148,129.9456
TEST_0149,65.68754
TEST_0150,30.146242
TEST_0151,71.955154
TEST_0152,72.026566
TEST_0153,17.94611
TEST_0154,81.395134
TEST_0155,51.982563
TEST_0156,149.45905
TEST_0157,64.36774
TEST_0158,233.86382
TEST_0159,70.59058
TEST_0160,136.2307
TEST_0161,101.89311
TEST_0162,112.704185
TEST_0163,147.85518
TEST_0164,41.197826
TEST_0165,39.433765
TEST_0166,35.44881
TEST_0167,127.32794
TEST_0168,213.09207
TEST_0169,89.71376
TEST_0170,81.235435
TEST_0171,67.17774
TEST_0172,-0.00047956567
TEST_0173,75.40963
TEST_0174,2.4414756
TEST_0175,40.83298
TEST_0176,15.075045
TEST_0177,52.86887
TEST_0178,216.31096
TEST_0179,178.89441
TEST_0180,74.375336
TEST_0181,77.77734
TEST_0182,59.90375
TEST_0183,112.6238
TEST_0184,125.989624
TEST_0185,93.49809
TEST_0186,0.5407664
TEST_0187,54.035053
TEST_0188,150.88242
TEST_0189,6.8793654
TEST_0190,59.081825
TEST_0191,-0.013137055
TEST_0192,171.18825
TEST_0193,34.086346
TEST_0194,193.66768
TEST_0195,93.17653
TEST_0196,6.137758
TEST_0197,203.69218
TEST_0198,3.659841
TEST_0199,17.505249
TEST_0200,10.344549
TEST_0201,107.487976
TEST_0202,46.27491
TEST_0203,24.666859
TEST_0204,102.03052
TEST_0205,75.53206
TEST_0206,125.946465
TEST_0207,70.81474
TEST_0208,11.645922
TEST_0209,39.187855
TEST_0210,57.40448
TEST_0211,214.50368
TEST_0212,166.98582
TEST_0213,-0.25194442
TEST_0214,64.62512
TEST_0215,46.20652
TEST_0216,67.05827
TEST_0217,152.68698
TEST_0218,64.87392
TEST_0219,97.0118
TEST_0220,135.86513
TEST_0221,67.394615
TEST_0222,108.36591
TEST_0223,173.24966
TEST_0224,70.84415
TEST_0225,64.92193
TEST_0226,52.894962
TEST_0227,127.46956
TEST_0228,50.608692
TEST_0229,-0.000783375
TEST_0230,62.205685
TEST_0231,44.369778
TEST_0232,65.35274
TEST_0233,78.77429
TEST_0234,18.534092
TEST_0235,58.114353
TEST_0236,139.5264
TEST_0237,42.65919
TEST_0238,131.05905
TEST_0239,39.864952
TEST_0240,24.017988
TEST_0241,218.07365
TEST_0242,105.308784
TEST_0243,-0.039897885
TEST_0244,61.928116
TEST_0245,50.827473
TEST_0246,36.778446
TEST_0247,103.89157
TEST_0248,64.32319
TEST_0249,4.2821984
TEST_0250,38.13678
TEST_0251,85.60436
TEST_0252,57.492336
TEST_0253,105.84742
TEST_0254,100.75471
TEST_0255,20.880167
TEST_0256,11.478817
TEST_0257,96.546394
TEST_0258,147.40607
TEST_0259,6.624542
TEST_0260,32.546223
TEST_0261,77.10697
TEST_0262,61.759666
TEST_0263,46.483044
TEST_0264,28.513506
TEST_0265,-0.00032769737
TEST_0266,44.908566
TEST_0267,6.239956
TEST_0268,45.433304
TEST_0269,184.09166
TEST_0270,110.73497
TEST_0271,137.97119
TEST_0272,0.6018403
TEST_0273,148.67426
TEST_0274,14.898154
TEST_0275,49.596035
TEST_0276,92.20473
TEST_0277,159.19014
TEST_0278,8.076542
TEST_0279,59.000446
TEST_0280,169.95267
TEST_0281,101.43684
TEST_0282,52.27279
TEST_0283,1.9111433
TEST_0284,180.15451
TEST_0285,48.473263
TEST_0286,35.9651
TEST_0287,52.268764
TEST_0288,96.23636
TEST_0289,56.351963
TEST_0290,151.54008
TEST_0291,66.2239
TEST_0292,86.56471
TEST_0293,48.443497
TEST_0294,108.21469
TEST_0295,62.116516
TEST_0296,65.08356
TEST_0297,128.96953
TEST_0298,116.633156
TEST_0299,229.71442
TEST_0300,192.66647
TEST_0301,10.8766775
TEST_0302,199.8524
TEST_0303,108.47636
TEST_0304,60.564045
TEST_0305,156.31186
TEST_0306,47.58343
TEST_0307,275.37378
TEST_0308,212.73729
TEST_0309,123.302666
TEST_0310,77.37865
TEST_0311,39.710148
TEST_0312,161.72316
TEST_0313,88.8817
TEST_0314,170.14233
TEST_0315,193.43747
TEST_0316,233.68326
TEST_0317,147.09279
TEST_0318,35.555176
TEST_0319,251.5743
TEST_0320,234.02968
TEST_0321,73.95074
TEST_0322,139.8395
TEST_0323,82.97924
TEST_0324,55.48682
TEST_0325,-0.026392201
TEST_0326,71.9953
TEST_0327,110.77999
TEST_0328,95.14419
TEST_0329,61.04792
TEST_0330,16.917864
TEST_0331,111.40651
TEST_0332,-0.26701242
TEST_0333,103.939064
TEST_0334,32.101917
TEST_0335,82.969894
TEST_0336,88.49271
TEST_0337,165.51308
TEST_0338,93.96983
TEST_0339,126.987686
TEST_0340,19.937687
TEST_0341,229.48831
TEST_0342,83.098526
TEST_0343,143.49623
TEST_0344,95.92382
TEST_0345,13.938723
TEST_0346,73.10933
TEST_0347,75.51253
TEST_0348,52.034637
TEST_0349,182.70168
TEST_0350,241.8315
TEST_0351,52.933712
TEST_0352,138.96922
TEST_0353,58.94187
TEST_0354,69.33967
TEST_0355,-0.14628297
TEST_0356,169.53365
TEST_0357,168.68556
TEST_0358,132.23114
TEST_0359,132.24773
TEST_0360,84.92198
TEST_0361,123.64888
TEST_0362,129.39651
TEST_0363,51.705673
TEST_0364,173.62999
TEST_0365,36.953815
TEST_0366,145.68694
TEST_0367,33.822735
TEST_0368,219.25829
TEST_0369,107.826385
TEST_0370,19.752449
TEST_0371,97.09906
TEST_0372,95.95164
TEST_0373,116.39483
TEST_0374,17.266233
TEST_0375,177.74216
TEST_0376,223.8687
TEST_0377,215.67686
TEST_0378,46.66879
TEST_0379,85.88565
TEST_0380,184.63791
TEST_0381,54.577374
TEST_0382,27.044622
TEST_0383,223.84734
TEST_0384,3.2838724
TEST_0385,-0.00039996076
TEST_0386,212.24416
TEST_0387,92.02162
TEST_0388,105.62234
TEST_0389,198.72731
TEST_0390,162.5108
TEST_0391,27.95818
TEST_0392,114.698524
TEST_0393,137.59285
TEST_0394,24.747746
TEST_0395,190.66783
TEST_0396,91.37309
TEST_0397,44.7485
TEST_0398,106.02633
TEST_0399,128.12648
TEST_0400,80.59881
TEST_0401,181.16219
TEST_0402,176.77023
TEST_0403,160.96782
TEST_0404,106.55158
TEST_0405,94.04869
TEST_0406,12.786511
TEST_0407,49.82668
TEST_0408,170.88112
TEST_0409,215.80421
TEST_0410,98.258575
TEST_0411,304.01428
TEST_0412,15.552817
TEST_0413,61.43361
TEST_0414,172.42412
TEST_0415,-0.24181952
TEST_0416,34.800316
TEST_0417,91.62518
TEST_0418,72.55059
TEST_0419,1.3629127
TEST_0420,187.72557
TEST_0421,37.662968
TEST_0422,85.4521
TEST_0423,69.71735
TEST_0424,135.6971
TEST_0425,43.48203
TEST_0426,61.617336
TEST_0427,-0.27826372
TEST_0428,63.60734
TEST_0429,109.45344
TEST_0430,108.04347
TEST_0431,330.22055
TEST_0432,58.85844
TEST_0433,-0.27596366
TEST_0434,161.30028
TEST_0435,38.036213
TEST_0436,43.757046
TEST_0437,186.17627
TEST_0438,38.726334
TEST_0439,207.10387
TEST_0440,272.8041
TEST_0441,57.8979
TEST_0442,29.987282
TEST_0443,56.941357
TEST_0444,267.42435
TEST_0445,129.09653
TEST_0446,147.50479
TEST_0447,33.455334
TEST_0448,70.172035
TEST_0449,58.622112
TEST_0450,97.81401
TEST_0451,112.830826
TEST_0452,57.97665
TEST_0453,61.029926
TEST_0454,56.222557
TEST_0455,69.79591
TEST_0456,104.61655
TEST_0457,143.11269
TEST_0458,188.3525
TEST_0459,126.12196
TEST_0460,99.79172
TEST_0461,210.24307
TEST_0462,65.586105
TEST_0463,96.700935
TEST_0464,82.54475
TEST_0465,68.108315
TEST_0466,100.33493
TEST_0467,54.370647
TEST_0468,134.81804
TEST_0469,-0.024302244
TEST_0470,104.80116
TEST_0471,25.860971
TEST_0472,63.70551
TEST_0473,37.776714
TEST_0474,174.64534
TEST_0475,198.2712
TEST_0476,46.968758
TEST_0477,61.96382
TEST_0478,58.24506
TEST_0479,72.668396
TEST_0480,56.00213
TEST_0481,48.46764
TEST_0482,178.34184
TEST_0483,138.33296
TEST_0484,65.10904
TEST_0485,0.15458333
TEST_0486,-0.00045813114
TEST_0487,274.03485
TEST_0488,37.1579
TEST_0489,10.400097
TEST_0490,215.72618
TEST_0491,85.06194
TEST_0492,81.32518
TEST_0493,52.853035
TEST_0494,97.13501
TEST_0495,64.736
TEST_0496,6.698081
TEST_0497,10.815012
TEST_0498,135.67458
TEST_0499,135.00224
TEST_0500,31.315294
TEST_0501,109.38313
TEST_0502,194.97725
TEST_0503,12.665435
TEST_0504,90.05618
TEST_0505,36.04034
TEST_0506,186.28996
TEST_0507,68.1251
TEST_0508,196.79562
TEST_0509,101.28989
TEST_0510,35.60661
TEST_0511,75.3866
TEST_0512,75.63101
TEST_0513,70.41037
TEST_0514,60.82909
TEST_0515,131.0273
TEST_0516,148.92929
TEST_0517,4.610694
TEST_0518,191.09859
TEST_0519,26.776789
TEST_0520,65.58902
TEST_0521,75.26896
TEST_0522,192.9286
TEST_0523,110.35687
TEST_0524,111.17199
TEST_0525,78.691345
TEST_0526,100.44566
TEST_0527,9.490399
TEST_0528,182.88118
TEST_0529,208.33406
TEST_0530,71.768684
TEST_0531,139.51363
TEST_0532,13.536028
TEST_0533,153.86565
TEST_0534,111.747116
TEST_0535,101.9438
TEST_0536,0.99329406
TEST_0537,108.756584
TEST_0538,44.679832
TEST_0539,57.62838
TEST_0540,130.40306
TEST_0541,31.037548
TEST_0542,140.70827
TEST_0543,93.480316
TEST_0544,82.548386
TEST_0545,94.222015
TEST_0546,5.014253
TEST_0547,97.76808
TEST_0548,198.35437
TEST_0549,60.05968
TEST_0550,69.34386
TEST_0551,133.78273
TEST_0552,104.42631
TEST_0553,108.57223
TEST_0554,76.94281
TEST_0555,12.116351
TEST_0556,155.81552
TEST_0557,84.786804
TEST_0558,204.21846
TEST_0559,67.14008
TEST_0560,0.66480315
TEST_0561,60.41232
TEST_0562,213.67703
TEST_0563,89.38005
TEST_0564,39.08877
TEST_0565,124.83844
TEST_0566,32.849384
TEST_0567,120.77054
TEST_0568,2.584528
TEST_0569,65.003784
TEST_0570,50.462715
TEST_0571,76.77711
TEST_0572,47.41457
TEST_0573,194.12672
TEST_0574,37.101246
TEST_0575,17.452814
TEST_0576,18.78766
TEST_0577,56.033955
TEST_0578,40.37375
TEST_0579,227.00883
TEST_0580,94.85199
TEST_0581,241.35469
TEST_0582,75.7209
TEST_0583,54.015514
TEST_0584,94.4716
TEST_0585,24.647757
TEST_0586,111.23327
TEST_0587,157.33109
TEST_0588,165.94429
TEST_0589,34.674667
TEST_0590,162.76051
TEST_0591,197.29422
TEST_0592,66.260506
TEST_0593,232.21834
TEST_0594,79.35535
TEST_0595,24.304264
TEST_0596,17.03367
TEST_0597,137.75612
TEST_0598,144.81757
TEST_0599,80.13945
TEST_0600,239.41635
TEST_0601,58.00793
TEST_0602,234.26393
TEST_0603,191.98701
TEST_0604,154.16803
TEST_0605,82.89363
TEST_0606,106.07384
TEST_0607,51.138504
TEST_0608,101.67787
TEST_0609,99.10266
TEST_0610,50.737537
TEST_0611,118.51386
TEST_0612,121.62518
TEST_0613,59.61815
TEST_0614,18.315325
TEST_0615,24.358295
TEST_0616,96.62317
TEST_0617,221.71793
TEST_0618,14.949323
TEST_0619,125.28932
TEST_0620,187.40152
TEST_0621,5.361185
TEST_0622,63.876278
TEST_0623,29.35293
TEST_0624,34.174004
TEST_0625,42.212784
TEST_0626,108.8898
TEST_0627,260.7493
TEST_0628,101.85607
TEST_0629,105.29443
TEST_0630,14.653394
TEST_0631,53.37052
TEST_0632,207.97719
TEST_0633,81.27915
TEST_0634,53.39507
TEST_0635,62.93935
TEST_0636,161.53357
TEST_0637,104.284035
TEST_0638,63.253326
TEST_0639,145.30759
