,연도,일시,측정소,PM2.5
0,4,01-03 00:00,공주,0.06
1,4,01-03 01:00,공주,0.068
2,4,01-03 02:00,공주,0.068
3,4,01-03 03:00,공주,0.064
4,4,01-03 04:00,공주,0.064
5,4,01-03 05:00,공주,0.064
6,4,01-03 06:00,공주,0.068
7,4,01-03 07:00,공주,0.08
8,4,01-03 08:00,공주,0.08
9,4,01-03 09:00,공주,0.088
10,4,01-03 10:00,공주,0.076
11,4,01-03 11:00,공주,0.068
12,4,01-03 12:00,공주,0.068
13,4,01-03 13:00,공주,0.06
14,4,01-03 14:00,공주,0.064
15,4,01-03 15:00,공주,0.056
16,4,01-03 16:00,공주,0.06
17,4,01-03 17:00,공주,0.064
18,4,01-03 18:00,공주,0.084
19,4,01-03 19:00,공주,0.068
20,4,01-03 20:00,공주,0.076
21,4,01-03 21:00,공주,0.08
22,4,01-03 22:00,공주,0.084
23,4,01-03 23:00,공주,0.092
24,4,01-04 00:00,공주,0.096
25,4,01-04 01:00,공주,0.084
26,4,01-04 02:00,공주,0.088
27,4,01-04 03:00,공주,0.096
28,4,01-04 04:00,공주,0.092
29,4,01-04 05:00,공주,0.07200000000000001
30,4,01-04 06:00,공주,0.092
31,4,01-04 07:00,공주,0.112
32,4,01-04 08:00,공주,0.096
33,4,01-04 09:00,공주,0.1
34,4,01-04 10:00,공주,0.116
35,4,01-04 11:00,공주,0.10400000000000001
36,4,01-04 12:00,공주,0.084
37,4,01-04 13:00,공주,0.068
38,4,01-04 14:00,공주,0.08
39,4,01-04 15:00,공주,0.068
40,4,01-04 16:00,공주,0.068
41,4,01-04 17:00,공주,0.068
42,4,01-04 18:00,공주,0.08
43,4,01-04 19:00,공주,0.088
44,4,01-04 20:00,공주,0.092
45,4,01-04 21:00,공주,0.076
46,4,01-04 22:00,공주,0.116
47,4,01-04 23:00,공주,0.1
48,4,01-05 00:00,공주,0.096
49,4,01-05 01:00,공주,0.108
50,4,01-05 02:00,공주,0.1
51,4,01-05 03:00,공주,0.096
52,4,01-05 04:00,공주,0.10400000000000001
53,4,01-05 05:00,공주,0.108
54,4,01-05 06:00,공주,0.108
55,4,01-05 07:00,공주,0.116
56,4,01-05 08:00,공주,0.128
57,4,01-05 09:00,공주,0.132
58,4,01-05 10:00,공주,0.10400000000000001
59,4,01-05 11:00,공주,0.10400000000000001
60,4,01-05 12:00,공주,0.084
61,4,01-05 13:00,공주,0.084
62,4,01-05 14:00,공주,0.088
63,4,01-05 15:00,공주,0.084
64,4,01-05 16:00,공주,0.088
65,4,01-05 17:00,공주,0.092
66,4,01-05 18:00,공주,0.092
67,4,01-05 19:00,공주,0.1
68,4,01-05 20:00,공주,0.092
69,4,01-05 21:00,공주,0.10400000000000001
70,4,01-05 22:00,공주,0.096
71,4,01-05 23:00,공주,0.096
72,4,01-08 00:00,공주,0.096
73,4,01-08 01:00,공주,0.1
74,4,01-08 02:00,공주,0.1
75,4,01-08 03:00,공주,0.092
76,4,01-08 04:00,공주,0.092
77,4,01-08 05:00,공주,0.084
78,4,01-08 06:00,공주,0.096
79,4,01-08 07:00,공주,0.108
80,4,01-08 08:00,공주,0.12
81,4,01-08 09:00,공주,0.124
82,4,01-08 10:00,공주,0.116
83,4,01-08 11:00,공주,0.10400000000000001
84,4,01-08 12:00,공주,0.108
85,4,01-08 13:00,공주,0.084
86,4,01-08 14:00,공주,0.084
87,4,01-08 15:00,공주,0.084
88,4,01-08 16:00,공주,0.088
89,4,01-08 17:00,공주,0.088
90,4,01-08 18:00,공주,0.108
91,4,01-08 19:00,공주,0.1
92,4,01-08 20:00,공주,0.108
93,4,01-08 21:00,공주,0.112
94,4,01-08 22:00,공주,0.108
95,4,01-08 23:00,공주,0.12
96,4,01-09 00:00,공주,0.116
97,4,01-09 01:00,공주,0.108
98,4,01-09 02:00,공주,0.12
99,4,01-09 03:00,공주,0.128
100,4,01-09 04:00,공주,0.112
101,4,01-09 05:00,공주,0.1
102,4,01-09 06:00,공주,0.112
103,4,01-09 07:00,공주,0.14400000000000002
104,4,01-09 08:00,공주,0.124
105,4,01-09 09:00,공주,0.14
106,4,01-09 10:00,공주,0.136
107,4,01-09 11:00,공주,0.124
108,4,01-09 12:00,공주,0.112
109,4,01-09 13:00,공주,0.092
110,4,01-09 14:00,공주,0.096
111,4,01-09 15:00,공주,0.08
112,4,01-09 16:00,공주,0.092
113,4,01-09 17:00,공주,0.088
114,4,01-09 18:00,공주,0.1
115,4,01-09 19:00,공주,0.1
116,4,01-09 20:00,공주,0.10400000000000001
117,4,01-09 21:00,공주,0.088
118,4,01-09 22:00,공주,0.12
119,4,01-09 23:00,공주,0.096
120,4,01-10 00:00,공주,0.096
121,4,01-10 01:00,공주,0.108
122,4,01-10 02:00,공주,0.10400000000000001
123,4,01-10 03:00,공주,0.10400000000000001
124,4,01-10 04:00,공주,0.10400000000000001
125,4,01-10 05:00,공주,0.10400000000000001
126,4,01-10 06:00,공주,0.112
127,4,01-10 07:00,공주,0.12
128,4,01-10 08:00,공주,0.136
129,4,01-10 09:00,공주,0.136
130,4,01-10 10:00,공주,0.1
131,4,01-10 11:00,공주,0.10400000000000001
132,4,01-10 12:00,공주,0.08
133,4,01-10 13:00,공주,0.08
134,4,01-10 14:00,공주,0.084
135,4,01-10 15:00,공주,0.088
136,4,01-10 16:00,공주,0.092
137,4,01-10 17:00,공주,0.092
138,4,01-10 18:00,공주,0.096
139,4,01-10 19:00,공주,0.092
140,4,01-10 20:00,공주,0.096
141,4,01-10 21:00,공주,0.10400000000000001
142,4,01-10 22:00,공주,0.096
143,4,01-10 23:00,공주,0.096
144,4,01-13 00:00,공주,0.28
145,4,01-13 01:00,공주,0.272
146,4,01-13 02:00,공주,0.272
147,4,01-13 03:00,공주,0.252
148,4,01-13 04:00,공주,0.248
149,4,01-13 05:00,공주,0.23600000000000002
150,4,01-13 06:00,공주,0.23600000000000002
151,4,01-13 07:00,공주,0.268
152,4,01-13 08:00,공주,0.28
153,4,01-13 09:00,공주,0.268
154,4,01-13 10:00,공주,0.268
155,4,01-13 11:00,공주,0.244
156,4,01-13 12:00,공주,0.276
157,4,01-13 13:00,공주,0.20400000000000001
158,4,01-13 14:00,공주,0.168
159,4,01-13 15:00,공주,0.18
160,4,01-13 16:00,공주,0.188
161,4,01-13 17:00,공주,0.164
162,4,01-13 18:00,공주,0.196
163,4,01-13 19:00,공주,0.188
164,4,01-13 20:00,공주,0.176
