iter	MultiClass
0	1.097967605
1	1.097393999
2	1.096737792
3	1.096026113
4	1.095393121
5	1.094699174
6	1.094287745
7	1.093573924
8	1.092968609
9	1.092451844
10	1.091733808
11	1.091259004
12	1.090787673
13	1.090179619
14	1.089761103
15	1.089069063
16	1.088622636
17	1.088160392
18	1.08766082
19	1.087186422
20	1.086670634
21	1.086078795
22	1.085605667
23	1.08524295
24	1.084474616
25	1.083932084
26	1.083397761
27	1.082774716
28	1.082323069
29	1.081865749
30	1.081419318
31	1.080930971
32	1.080399499
33	1.079752639
34	1.07931712
35	1.078820541
36	1.078414663
37	1.07790725
38	1.077380678
39	1.076635564
40	1.075962777
41	1.075325282
42	1.07478974
43	1.074345981
44	1.073717211
45	1.073164467
46	1.072472271
47	1.07198553
48	1.071434821
49	1.070944314
50	1.070410021
51	1.069809039
52	1.0692619
53	1.068647231
54	1.068201116
55	1.067577633
56	1.066978186
57	1.066581976
58	1.066104723
59	1.065712619
60	1.065127026
61	1.064402761
62	1.063979152
63	1.063311582
64	1.062608785
65	1.062013735
66	1.06158286
67	1.06109644
68	1.060256656
69	1.05943847
70	1.058934058
71	1.058302638
72	1.057733479
73	1.057216111
74	1.05666188
75	1.055949924
76	1.055350539
77	1.054797203
78	1.054182027
79	1.05350062
80	1.052982859
81	1.052324251
82	1.051817396
83	1.051227754
84	1.05063502
85	1.050176509
86	1.049609777
87	1.049137937
88	1.048723009
89	1.04826692
90	1.047852482
91	1.047323051
92	1.046894221
93	1.046383478
94	1.0459302
95	1.045501223
96	1.045078676
97	1.044507611
98	1.043848816
99	1.043454646
100	1.042982381
101	1.042443222
102	1.041735953
103	1.041357724
104	1.040882055
105	1.04028573
106	1.039573178
107	1.038939583
108	1.038426385
109	1.037967781
110	1.037201051
111	1.036753169
112	1.036128239
113	1.035449547
114	1.035072822
115	1.03448651
116	1.034001759
117	1.033474889
118	1.033095725
119	1.032751039
120	1.032135592
121	1.031559117
122	1.031094552
123	1.030626147
124	1.030106499
125	1.029724679
126	1.029165429
127	1.028390622
128	1.027893213
129	1.027445675
130	1.026862975
131	1.02644286
132	1.025763704
133	1.025409635
134	1.024833732
135	1.024143088
136	1.023774252
137	1.023404941
138	1.022976139
139	1.022656181
140	1.022153099
141	1.021605684
142	1.020862423
143	1.02036034
144	1.019926756
145	1.019417085
146	1.019032345
147	1.018528636
148	1.018061831
149	1.017420109
150	1.016761311
151	1.016141989
152	1.015716361
153	1.015212303
154	1.014753864
155	1.014214136
156	1.013772212
157	1.013176905
158	1.012792871
159	1.012154658
160	1.011596719
161	1.010865674
162	1.010296993
163	1.009843114
164	1.009440292
165	1.009100571
166	1.00857241
167	1.00789359
168	1.007301497
169	1.006842621
170	1.006220437
171	1.00575871
172	1.005230917
173	1.004505429
174	1.004146668
175	1.003726276
176	1.003197066
177	1.00275112
178	1.002236994
179	1.00181284
180	1.001139147
181	1.000475397
182	1.000140543
183	0.9996946758
184	0.9991250463
185	0.9985305424
186	0.9981401648
187	0.9976693627
188	0.9971822565
189	0.9967686875
190	0.9961853528
191	0.9955290637
192	0.9950745112
193	0.9947217076
194	0.9940792341
195	0.9936605456
196	0.9932430189
197	0.9927265212
198	0.9923110282
199	0.9918680698
200	0.9914183539
201	0.9909335228
202	0.9905580389
203	0.9898562053
204	0.9893071107
205	0.9888428232
206	0.9883367898
207	0.9879605576
208	0.9872858245
209	0.9867723299
210	0.9863656262
211	0.9858403713
212	0.9853614783
213	0.9846783033
214	0.9842188122
215	0.9836031971
216	0.9831619313
217	0.9827905172
218	0.9822863556
219	0.9819327224
220	0.9815710642
221	0.9812109163
222	0.9808417505
223	0.980414866
224	0.9799184647
225	0.9795776263
226	0.9791181557
227	0.9786994755
228	0.9781853366
229	0.9774590065
230	0.976962453
231	0.9764308195
232	0.9757940596
233	0.9752663278
234	0.9748372774
235	0.9744039952
236	0.9738537161
237	0.9732835718
238	0.9729550715
239	0.9725311081
240	0.9721125116
241	0.9715677601
242	0.9710062214
243	0.9705828533
244	0.9701082648
245	0.969689684
246	0.9692839248
247	0.9688920819
248	0.9684966749
249	0.9681222188
250	0.9675252678
251	0.9670837987
252	0.9667115188
253	0.9663107786
254	0.9657700875
255	0.9653174594
256	0.9648579132
257	0.9644109267
258	0.9640192416
259	0.9636646944
260	0.9632383347
261	0.9626525755
262	0.9621105332
263	0.9615764274
264	0.9611950227
265	0.9606215682
266	0.9599287113
267	0.9594660066
268	0.9589673944
269	0.95847091
270	0.9581028742
271	0.9574164783
272	0.9569247564
273	0.9564829547
274	0.9560907572
275	0.9555736384
276	0.9549195251
277	0.9545587382
278	0.9539519872
279	0.9535971794
280	0.952967815
281	0.952578076
282	0.9520476777
283	0.951657373
284	0.9512032388
285	0.9505252151
286	0.9501065431
287	0.9495655433
288	0.949079478
289	0.9485449178
290	0.9481089171
291	0.9477128501
292	0.9473428623
293	0.9469884629
294	0.9464836865
295	0.9461599689
296	0.9455616746
297	0.9451968079
298	0.9447635685
299	0.9443477693
300	0.9439498351
301	0.9433488444
302	0.9428261965
303	0.9424117035
304	0.94198733
305	0.9417185042
306	0.9411542404
307	0.9406394942
308	0.9401554033
309	0.9397935315
310	0.9393676021
311	0.9390139245
312	0.9385470277
313	0.9381339876
314	0.9377426017
315	0.9375036759
316	0.9371409312
317	0.9367267547
318	0.9363314504
319	0.9359780598
320	0.9354931118
321	0.9350016549
322	0.9344702257
323	0.9341136218
324	0.9337494528
325	0.9332308743
326	0.9326707435
327	0.9323086124
328	0.9319888262
329	0.9314548797
330	0.9309656515
331	0.9305070222
332	0.9301352175
333	0.929625681
334	0.9290699614
335	0.9284719265
336	0.9280324932
337	0.9274416129
338	0.9267661852
339	0.9264102109
340	0.926046861
341	0.9256851081
342	0.9252638065
343	0.9248102109
344	0.9243673218
345	0.9240085707
346	0.923544488
347	0.9230474687
348	0.9225012382
349	0.9220155861
350	0.9216232901
351	0.9210876172
352	0.9204549955
353	0.9199758963
354	0.919584609
355	0.9191468235
356	0.9187611425
357	0.9182992927
358	0.9177395585
359	0.9173513533
360	0.9169380272
361	0.9163800763
362	0.9160187168
363	0.9156832936
364	0.9153056293
365	0.914872749
366	0.9145444879
367	0.9141478976
368	0.9136903466
369	0.913294462
370	0.9129757894
371	0.9124091116
372	0.9120677471
373	0.911608062
374	0.9112048369
375	0.9108578332
376	0.9105129995
377	0.9101128922
378	0.9096206631
379	0.9092602324
380	0.9089944295
381	0.9086072532
382	0.9083337207
383	0.9077635619
384	0.9074217799
385	0.9069194113
386	0.9065189158
387	0.906101769
388	0.9057545452
389	0.9053159373
390	0.9049540194
391	0.9045654324
392	0.9041624705
393	0.9038914134
394	0.903396685
395	0.9028739644
396	0.9024254654
397	0.9020449685
398	0.9016748134
399	0.9011812215
400	0.9008683246
401	0.9003182428
402	0.899771738
403	0.8993395009
404	0.8989628284
405	0.8985112718
406	0.8981272557
407	0.8976833265
408	0.8972620351
409	0.8967565843
410	0.8963665028
411	0.8958449976
412	0.8953258263
413	0.895007127
414	0.8946737576
415	0.8942058763
416	0.8937705549
417	0.8933171685
418	0.8928686702
419	0.8924688185
420	0.8921205903
421	0.8916378266
422	0.8912725303
423	0.8908072938
424	0.8904495278
425	0.8901056559
426	0.889661199
427	0.8893666536
428	0.8890527444
429	0.8886528268
430	0.8882301938
431	0.8876512044
432	0.8872889239
433	0.8869797327
434	0.886449514
435	0.8861708977
436	0.8858108404
437	0.8852625901
438	0.8848905006
439	0.8846494809
440	0.8841414865
441	0.8837539183
442	0.8833367783
443	0.8829940834
444	0.8826358648
445	0.8822395974
446	0.8819232419
447	0.8815792588
448	0.8812164871
449	0.8806201109
450	0.8802898096
451	0.8798902719
452	0.8795239992
453	0.8791880826
454	0.8787586102
455	0.878178178
456	0.8776681722
457	0.8772764331
458	0.8769845396
459	0.876700674
460	0.8763429665
461	0.8760271219
462	0.8757310814
463	0.875197741
464	0.874664829
465	0.8741938342
466	0.873847341
467	0.8735159935
468	0.8731366922
469	0.8727730506
470	0.872482232
471	0.8721098193
472	0.8718089933
473	0.8715089732
474	0.8709731206
475	0.8706412732
476	0.8702404791
477	0.8699161819
478	0.8696116072
479	0.8693114149
480	0.8689481809
481	0.8686211293
482	0.8682274467
483	0.8678213193
484	0.8674125676
485	0.8668198153
486	0.8665573737
487	0.8662326261
488	0.865798867
489	0.8653867654
490	0.8649597947
491	0.8646401932
492	0.8642679445
493	0.8637001832
494	0.8633454708
495	0.8630426988
496	0.8624943902
497	0.8621393837
498	0.8617934529
499	0.8614874112
500	0.8609464577
501	0.8604595189
502	0.8599934774
503	0.8596612842
504	0.8592271523
505	0.8589565928
506	0.8585491533
507	0.8582162316
508	0.8578879857
509	0.8574200021
510	0.856937104
511	0.8565113043
512	0.8561790311
513	0.8557929446
514	0.8554913409
515	0.8550341963
516	0.8547002113
517	0.8542681654
518	0.8539104057
519	0.8536551292
520	0.8532340585
521	0.8529175265
522	0.8525460719
523	0.8520926004
524	0.8517019801
525	0.8514175166
526	0.8511017161
527	0.8506583068
528	0.8501612504
529	0.849717487
530	0.8492982746
531	0.8488839208
532	0.8486153392
533	0.84826856
534	0.847775334
535	0.8473794185
536	0.84693635
537	0.8465377726
538	0.8461590603
539	0.8456524903
540	0.8453734844
541	0.8449913401
542	0.8446707063
543	0.8443478201
544	0.8440828903
545	0.8437536173
546	0.8433170272
547	0.8430306969
548	0.8426578209
549	0.842169692
550	0.8417964336
551	0.8414877902
552	0.8411069691
553	0.8406259601
554	0.8402641728
555	0.8397753321
556	0.8395040583
557	0.838943134
558	0.8384538083
559	0.8381765444
560	0.83768002
561	0.8371814462
562	0.8368256376
563	0.8364461027
564	0.835917822
565	0.8355730329
566	0.8352535412
567	0.8348946026
568	0.8345888706
569	0.8341784406
570	0.8337140225
571	0.8332980861
572	0.8328903011
573	0.8325526773
574	0.83229181
575	0.8320115965
576	0.8317406261
577	0.8314135475
578	0.8311153263
579	0.8308276396
580	0.8305319399
581	0.8302295823
582	0.8299134609
583	0.8295245407
584	0.8290346558
585	0.8287238966
586	0.8282173095
587	0.8277268505
588	0.8274768506
589	0.8271627529
590	0.8268159241
591	0.8265515118
592	0.8263066225
593	0.8259912439
594	0.8255440842
595	0.8251233194
596	0.8247238493
597	0.8243400766
598	0.8239992828
599	0.8237319312
600	0.8233502789
601	0.8230040081
602	0.822490099
603	0.8222293705
604	0.8219360112
605	0.8215339251
606	0.8211839157
607	0.8207928298
608	0.8203858035
609	0.82002396
610	0.8197198578
611	0.819405046
612	0.8190257102
613	0.8187308735
614	0.8183355146
615	0.8179433225
616	0.8175355203
617	0.8172365764
618	0.8169029973
619	0.8165625232
620	0.8162381806
621	0.815919429
622	0.8156037464
623	0.8152397389
624	0.8148531017
625	0.8144419542
626	0.8140666295
627	0.8137986398
628	0.8135315716
629	0.8132567645
630	0.8128291587
631	0.8125278682
632	0.8120618088
633	0.8116737491
634	0.8114233641
635	0.81109256
636	0.8106410465
637	0.8102269428
638	0.8097366844
639	0.8093350381
640	0.8090250313
641	0.8085826068
642	0.8081018101
643	0.8076532861
644	0.8072504649
645	0.8069115473
646	0.8063976031
647	0.8061108358
648	0.8056544971
649	0.805403919
650	0.8050580401
651	0.8047391968
652	0.8043096985
653	0.803839921
654	0.8035488075
655	0.8033020228
656	0.8029848251
657	0.8027049813
658	0.8024032099
659	0.8021219364
660	0.8017624918
661	0.8014263694
662	0.8011474862
663	0.8006989741
664	0.8003443388
665	0.8000312191
666	0.7996384782
667	0.799279385
668	0.7988434834
669	0.7985538195
670	0.7982368381
671	0.7978152717
672	0.7974187859
673	0.7970870112
674	0.7966518201
675	0.7962221437
676	0.7958326339
677	0.7955287723
678	0.7952080021
679	0.7947782469
680	0.7944853829
681	0.7942215835
682	0.7938423329
683	0.7934829586
684	0.7931414217
685	0.7927611806
686	0.7924021884
687	0.7920192697
688	0.7917392291
689	0.7914127678
690	0.7911006754
691	0.7906098308
692	0.7902023833
693	0.7899204957
694	0.7895464008
695	0.7892954946
696	0.7889866462
697	0.7886752135
698	0.7883559674
699	0.7878990296
700	0.7875866275
701	0.7873274829
702	0.7870082975
703	0.7867171912
704	0.7863372559
705	0.785964365
706	0.7855917494
707	0.7853421504
708	0.7849759017
709	0.7846373446
710	0.7843467428
711	0.7841473024
712	0.7838631279
713	0.7835546413
714	0.7831815796
715	0.7828969374
716	0.7824980839
717	0.7820766922
718	0.7818392049
719	0.7815740656
720	0.7812253589
721	0.7809292239
722	0.780619834
723	0.7803008347
724	0.7800076852
725	0.7797504826
726	0.7793567606
727	0.7789909178
728	0.7786285528
729	0.7782224231
730	0.777766573
731	0.7774436252
732	0.7771230731
733	0.7767225716
734	0.7763652211
735	0.7760177607
736	0.7757194104
737	0.7753980112
738	0.7750837534
739	0.7747949196
740	0.7745845356
741	0.7743006193
742	0.773934701
743	0.7735542106
