iter	Passed	Remaining
0	51	51010
1	140	70339
2	170	56586
3	171	42763
4	181	36112
5	183	30327
6	499	70882
7	501	62178
8	507	55865
9	521	51617
10	533	47931
11	580	47766
12	647	49149
13	676	47679
14	787	51722
15	789	48551
16	1021	59088
17	1262	68877
18	1321	68238
19	1335	65422
20	1560	72749
21	1566	69649
22	1665	70734
23	1872	76148
24	1873	73085
25	1901	71223
26	2001	72119
27	2007	69696
28	2229	74647
29	2449	79202
30	2490	77851
31	2709	81960
32	2710	79439
33	2725	77430
34	2939	81032
35	2987	79985
36	3172	82568
37	3183	80600
38	3395	83664
39	3397	81535
40	3401	79551
41	3414	77872
42	3465	77135
43	3664	79609
44	3667	77824
45	3698	76707
46	3700	75035
47	3889	77134
48	3914	75970
49	4104	77985
50	4316	80317
51	4318	78720
52	4438	79309
53	4441	77814
54	4632	79595
55	4634	78119
56	4647	76883
57	4818	78257
58	4901	78178
59	5073	79486
60	5075	78122
61	5075	76791
62	5095	75792
63	5097	74548
64	5097	73330
65	5103	72216
66	5108	71135
67	5276	72323
68	5277	71204
69	5277	70117
70	5456	71395
71	5457	70340
72	5460	69338
73	5542	69358
74	5547	68424
75	5548	67458
76	5550	66539
77	5552	65630
78	5562	64847
79	5563	63982
80	5566	63150
81	5566	62321
82	5740	63420
83	5740	62603
84	5742	61813
85	5922	62943
86	5942	62362
87	5952	61690
88	6129	62736
89	6209	62782
90	6371	63641
91	6421	63380
92	6578	64158
93	6588	63504
94	6628	63144
95	6788	63923
96	6866	63919
97	6869	63230
98	6870	62532
99	7040	63360
100	7079	63012
101	7080	62337
102	7080	61665
103	7250	62468
104	7271	61978
105	7272	61332
106	7272	60696
107	7277	60108
108	7449	60895
109	7489	60595
110	7489	59983
111	7663	60760
112	7664	60160
113	7665	59573
114	7744	59600
115	7747	59039
116	7757	58544
117	7796	58277
118	7963	58956
119	8136	59669
120	8141	59146
121	8162	58740
122	8337	59444
123	8339	58914
124	8430	59014
125	8601	59661
126	8602	59130
127	8602	58602
128	8642	58350
129	8736	58467
130	8742	57994
131	8763	57629
132	8764	57133
133	8931	57720
134	8936	57259
135	8937	56777
136	9105	57360
137	9185	57373
138	9225	57143
139	9412	57821
140	9453	57590
141	9458	57149
142	9458	56685
143	9480	56355
144	9636	56824
145	9718	56846
146	9876	57312
147	10044	57823
148	10049	57397
149	10052	56962
150	10053	56523
151	10053	56088
152	10132	56095
153	10135	55678
154	10176	55477
155	10177	55060
156	10258	55081
157	10259	54673
158	10300	54482
159	10302	54089
160	10305	53702
161	10306	53313
162	10311	52949
163	10393	52979
164	10578	53531
165	10747	53997
166	10769	53716
167	10770	53340
168	10771	52965
169	10945	53442
170	10947	53075
171	11106	53463
172	11146	53281
173	11146	52913
174	11324	53386
175	11495	53820
176	11505	53498
177	11703	54047
178	11730	53804
179	11907	54247
180	11909	53888
181	11910	53531
182	12087	53963
183	12301	54554
184	12308	54224
185	12309	53871
186	12548	54554
187	12640	54595
188	12850	55143
189	13105	55872
190	13113	55542
191	13113	55186
192	13116	54846
193	13377	55576
194	13378	55231
195	13570	55667
196	13598	55427
197	13621	55173
198	13887	55900
199	13918	55674
200	14219	56525
201	14255	56316
202	14648	57510
203	14649	57160
204	14754	57218
205	14762	56898
206	14821	56779
207	15169	57761
208	15170	57416
209	15176	57093
210	15662	58567
211	15683	58295
212	15717	58072
213	15717	57728
214	15724	57412
215	15727	57084
216	16168	58339
217	16491	59157
218	16496	58828
219	16856	59763
220	16971	59821
221	17223	60359
222	17621	61399
223	17656	61165
224	17661	60835
225	18061	61855
226	18156	61828
227	18392	62277
228	18398	61944
229	18399	61598
230	18412	61295
231	18418	60971
232	18419	60632
233	18475	60479
234	18530	60322
235	18579	60148
236	18580	59817
237	18580	59489
238	18795	59847
239	18826	59616
240	19052	60003
241	19065	59717
242	19067	59398
243	19118	59235
244	19153	59024
245	19204	58862
246	19459	59324
247	19524	59202
248	19652	59273
249	19797	59393
250	19799	59083
251	19811	58805
252	20221	59705
253	20343	59748
254	20357	59476
255	20413	59326
256	20425	59050
257	20425	58744
258	20564	58835
259	20824	59271
260	20858	59059
261	20859	58757
262	20862	58462
263	20971	58466
264	21000	58246
265	21005	57963
266	21006	57669
267	21020	57413
268	21096	57330
269	21110	57075
270	21187	56994
271	21188	56709
272	21198	56451
273	21210	56200
274	21449	56548
275	21458	56290
276	21459	56012
277	21750	56488
278	21754	56219
279	22009	56594
280	22009	56316
281	22022	56070
282	22025	55803
283	22227	56038
284	22234	55780
285	22234	55509
286	22337	55494
287	22339	55228
288	22343	54970
289	22345	54708
290	22408	54597
291	22443	54418
292	22468	54216
293	22664	54425
294	22666	54168
295	22843	54329
296	22846	54077
297	22866	53865
298	22895	53677
299	23170	54064
300	23480	54528
301	23482	54274
302	23492	54041
303	23511	53829
304	23543	53648
305	23792	53961
306	23793	53709
307	23803	53480
308	23806	53237
309	24299	54085
310	24315	53870
311	24524	54080
312	24598	53991
313	24627	53803
314	24653	53612
315	24981	54073
316	25316	54546
317	25413	54503
318	25615	54684
319	25637	54480
320	25640	54236
321	25643	53994
322	25644	53750
323	25855	53945
324	26035	54073
325	26058	53874
326	26058	53631
327	26263	53807
328	26475	53998
329	26479	53760
330	26487	53534
331	26496	53312
332	26694	53469
333	26696	53233
334	26697	52996
335	26697	52760
336	26892	52907
337	26893	52672
338	26893	52438
339	27084	52574
340	27284	52728
341	27331	52584
342	27444	52567
343	27666	52759
344	27758	52700
345	27943	52818
346	27945	52588
347	27946	52359
348	27946	52130
349	28048	52090
350	28228	52194
351	28231	51971
352	28232	51745
353	28233	51521
354	28244	51316
355	28250	51104
356	28264	50907
357	28271	50698
358	28272	50480
359	28322	50350
360	28415	50297
361	28416	50081
362	28630	50240
363	28720	50182
364	28916	50306
365	28923	50102
366	29125	50235
367	29180	50114
368	29206	49943
369	29294	49880
370	29468	49961
371	29469	49749
372	29688	49904
373	29689	49694
374	29710	49516
375	29905	49630
376	30078	49705
377	30088	49510
378	30129	49368
379	30170	49224
380	30350	49309
381	30518	49373
382	30680	49425
383	30682	49219
384	30861	49297
385	30863	49093
386	30868	48894
387	30908	48752
