,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_kernel,param_gamma,param_degree,param_C,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
1,0.0,0.0,0.003124713897705078,0.006249427795410156,linear,,5,1,"{'kernel': 'linear', 'degree': 5, 'C': 1}",1.0,0.9583333333333334,1.0,1.0,1.0,0.9916666666666668,0.016666666666666653,1
4,0.00019979476928710938,0.00039958953857421875,0.002022075653076172,0.0025740179908039667,linear,,3,1,"{'kernel': 'linear', 'degree': 3, 'C': 1}",1.0,0.9583333333333334,1.0,1.0,1.0,0.9916666666666668,0.016666666666666653,1
2,0.0,0.0,0.0,0.0,sigmoid,0.0001,3,1000,"{'kernel': 'sigmoid', 'gamma': 0.0001, 'degree': 3, 'C': 1000}",1.0,0.875,1.0,0.9583333333333334,0.9166666666666666,0.95,0.048591265790377515,3
6,0.0009991645812988282,6.97552625576391e-07,0.0007996559143066406,0.0003998282272756502,sigmoid,0.001,4,100,"{'kernel': 'sigmoid', 'gamma': 0.001, 'degree': 4, 'C': 100}",1.0,0.875,1.0,0.9583333333333334,0.9166666666666666,0.95,0.048591265790377515,3
8,0.0,0.0,0.0,0.0,linear,,4,1000,"{'kernel': 'linear', 'degree': 4, 'C': 1000}",1.0,0.875,1.0,1.0,0.875,0.95,0.06123724356957945,3
9,0.0,0.0,0.006249713897705078,0.0076543050438790325,linear,,3,100,"{'kernel': 'linear', 'degree': 3, 'C': 100}",1.0,0.875,1.0,1.0,0.875,0.95,0.06123724356957945,3
3,0.0,0.0,0.0,0.0,sigmoid,0.01,3,100,"{'kernel': 'sigmoid', 'gamma': 0.01, 'degree': 3, 'C': 100}",0.8333333333333334,0.8333333333333334,0.9166666666666666,0.9166666666666666,0.9166666666666666,0.8833333333333334,0.04082482904638627,7
0,0.0015990734100341797,0.0016238153803338061,0.00039987564086914064,0.0004897456403489048,sigmoid,0.001,4,1,"{'kernel': 'sigmoid', 'gamma': 0.001, 'degree': 4, 'C': 1}",0.3333333333333333,0.375,0.375,0.375,0.375,0.36666666666666664,0.016666666666666673,8
5,0.0019991397857666016,0.0006322589569261692,0.0003996372222900391,0.0004894536442237293,sigmoid,0.0001,4,10,"{'kernel': 'sigmoid', 'gamma': 0.0001, 'degree': 4, 'C': 10}",0.3333333333333333,0.375,0.375,0.375,0.375,0.36666666666666664,0.016666666666666673,8
7,0.00059967041015625,0.000799560546875,0.00039973258972167967,0.0004895704449951435,rbf,0.001,,1,"{'kernel': 'rbf', 'gamma': 0.001, 'C': 1}",0.3333333333333333,0.375,0.375,0.375,0.375,0.36666666666666664,0.016666666666666673,8
